intervention_id,student_id,intervention_type,semester,triggered_by,completed,outcome_next_semester
INT0000001,STU000003,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0000002,STU000003,AI Guide,Fall 2023,withdrawal risk,False,Enrolled
INT0000003,STU000003,Tutoring,Spring 2021,gateway course failure,True,Enrolled
INT0000004,STU000005,Financial Aid Counseling,Spring 2019,aid gap,True,Withdrew
INT0000005,STU000005,Peer Mentoring,Spring 2018,GPA drop,True,Enrolled
INT0000006,STU000006,AI Guide,Fall 2019,GPA drop,True,Enrolled
INT0000007,STU000006,AI Guide,Spring 2018,aid gap,False,Enrolled
INT0000008,STU000010,Financial Aid Counseling,Fall 2024,GPA drop,False,Graduated
INT0000009,STU000012,Peer Mentoring,Fall 2021,GPA drop,False,Enrolled
INT0000010,STU000012,Tutoring,Spring 2021,withdrawal risk,True,Graduated
INT0000011,STU000012,Tutoring,Fall 2021,withdrawal risk,True,Enrolled
INT0000012,STU000013,AI Guide,Fall 2019,gateway course failure,True,Withdrew
INT0000013,STU000013,AI Guide,Spring 2018,withdrawal risk,True,Enrolled
INT0000014,STU000014,Peer Mentoring,Fall 2021,aid gap,True,Enrolled
INT0000015,STU000016,Advising,Spring 2021,aid gap,True,Withdrew
INT0000016,STU000016,AI Guide,Fall 2022,withdrawal risk,True,Withdrew
INT0000017,STU000018,Advising,Fall 2021,aid gap,True,Enrolled
INT0000018,STU000018,Advising,Fall 2022,aid gap,False,Enrolled
INT0000019,STU000019,Peer Mentoring,Spring 2019,gateway course failure,False,Graduated
INT0000020,STU000019,Tutoring,Spring 2019,gateway course failure,True,Graduated
INT0000021,STU000022,Financial Aid Counseling,Fall 2020,GPA drop,False,Withdrew
INT0000022,STU000022,Advising,Fall 2020,withdrawal risk,True,Withdrew
INT0000023,STU000022,Tutoring,Fall 2020,GPA drop,True,Withdrew
INT0000024,STU000026,Advising,Fall 2018,GPA drop,True,Withdrew
INT0000025,STU000029,Peer Mentoring,Fall 2020,aid gap,False,Enrolled
INT0000026,STU000029,Peer Mentoring,Spring 2020,aid gap,True,Graduated
INT0000027,STU000032,Tutoring,Fall 2018,withdrawal risk,True,Withdrew
INT0000028,STU000032,Peer Mentoring,Fall 2018,gateway course failure,False,Withdrew
INT0000029,STU000032,Financial Aid Counseling,Spring 2018,aid gap,False,Withdrew
INT0000030,STU000033,AI Guide,Spring 2019,gateway course failure,True,Withdrew
INT0000031,STU000034,Financial Aid Counseling,Fall 2021,withdrawal risk,True,Enrolled
INT0000032,STU000034,Peer Mentoring,Fall 2022,aid gap,True,Withdrew
INT0000033,STU000034,Peer Mentoring,Fall 2021,gateway course failure,True,Enrolled
INT0000034,STU000038,Advising,Fall 2020,GPA drop,True,Enrolled
INT0000035,STU000038,Tutoring,Fall 2020,gateway course failure,True,Enrolled
INT0000036,STU000039,Tutoring,Spring 2019,gateway course failure,False,Enrolled
INT0000037,STU000039,Advising,Spring 2019,gateway course failure,True,Enrolled
INT0000038,STU000040,Advising,Spring 2020,GPA drop,True,Graduated
INT0000039,STU000043,Financial Aid Counseling,Fall 2022,withdrawal risk,True,Withdrew
INT0000040,STU000043,Tutoring,Spring 2022,withdrawal risk,True,Withdrew
INT0000041,STU000043,AI Guide,Spring 2022,gateway course failure,False,Withdrew
INT0000042,STU000045,Financial Aid Counseling,Fall 2019,withdrawal risk,False,Withdrew
INT0000043,STU000045,AI Guide,Fall 2019,gateway course failure,False,Withdrew
INT0000044,STU000045,AI Guide,Fall 2019,gateway course failure,True,Withdrew
INT0000045,STU000046,AI Guide,Fall 2019,withdrawal risk,True,Withdrew
INT0000046,STU000046,AI Guide,Fall 2019,withdrawal risk,True,Withdrew
INT0000047,STU000046,Financial Aid Counseling,Fall 2019,GPA drop,True,Withdrew
INT0000048,STU000048,Tutoring,Fall 2021,withdrawal risk,False,Enrolled
INT0000049,STU000048,Advising,Fall 2022,withdrawal risk,True,Graduated
INT0000050,STU000048,Financial Aid Counseling,Spring 2020,withdrawal risk,True,Enrolled
INT0000051,STU000049,Tutoring,Spring 2018,GPA drop,False,Withdrew
INT0000052,STU000049,Advising,Spring 2018,withdrawal risk,True,Withdrew
INT0000053,STU000049,Advising,Fall 2018,aid gap,True,Withdrew
INT0000054,STU000050,Tutoring,Fall 2020,GPA drop,False,Withdrew
INT0000055,STU000050,Peer Mentoring,Spring 2020,withdrawal risk,False,Withdrew
INT0000056,STU000050,Peer Mentoring,Fall 2020,GPA drop,False,Withdrew
INT0000057,STU000052,Tutoring,Fall 2021,aid gap,False,Withdrew
INT0000058,STU000052,Advising,Spring 2021,GPA drop,True,Withdrew
INT0000059,STU000055,AI Guide,Spring 2019,gateway course failure,True,Enrolled
INT0000060,STU000056,Financial Aid Counseling,Spring 2022,withdrawal risk,True,Withdrew
INT0000061,STU000056,Financial Aid Counseling,Spring 2025,GPA drop,True,Graduated
INT0000062,STU000057,Tutoring,Spring 2020,aid gap,True,Withdrew
INT0000063,STU000057,Financial Aid Counseling,Fall 2020,withdrawal risk,False,Withdrew
INT0000064,STU000058,Advising,Fall 2020,GPA drop,False,Enrolled
INT0000065,STU000058,Peer Mentoring,Fall 2020,gateway course failure,False,Enrolled
INT0000066,STU000059,Peer Mentoring,Spring 2020,withdrawal risk,False,Enrolled
INT0000067,STU000059,Peer Mentoring,Spring 2020,GPA drop,True,Enrolled
INT0000068,STU000059,Advising,Fall 2020,withdrawal risk,False,Withdrew
INT0000069,STU000064,AI Guide,Spring 2018,gateway course failure,True,Enrolled
INT0000070,STU000064,Financial Aid Counseling,Fall 2018,withdrawal risk,True,Enrolled
INT0000071,STU000066,Financial Aid Counseling,Fall 2018,withdrawal risk,True,Withdrew
INT0000072,STU000066,Tutoring,Spring 2018,gateway course failure,True,Withdrew
INT0000073,STU000071,Financial Aid Counseling,Fall 2023,GPA drop,False,Withdrew
INT0000074,STU000071,Financial Aid Counseling,Spring 2022,GPA drop,True,Withdrew
INT0000075,STU000071,Advising,Spring 2022,aid gap,True,Withdrew
INT0000076,STU000073,Advising,Fall 2020,gateway course failure,True,Enrolled
INT0000077,STU000073,Financial Aid Counseling,Fall 2020,gateway course failure,False,Enrolled
INT0000078,STU000082,Financial Aid Counseling,Fall 2020,aid gap,True,Enrolled
INT0000079,STU000085,AI Guide,Spring 2019,aid gap,True,Enrolled
INT0000080,STU000085,Peer Mentoring,Spring 2019,withdrawal risk,True,Enrolled
INT0000081,STU000086,Peer Mentoring,Spring 2020,withdrawal risk,True,Withdrew
INT0000082,STU000086,Peer Mentoring,Spring 2019,gateway course failure,True,Enrolled
INT0000083,STU000086,Financial Aid Counseling,Fall 2021,aid gap,True,Withdrew
INT0000084,STU000087,Financial Aid Counseling,Spring 2022,gateway course failure,False,Withdrew
INT0000085,STU000087,Tutoring,Fall 2022,aid gap,True,Withdrew
INT0000086,STU000087,Peer Mentoring,Spring 2022,gateway course failure,True,Withdrew
INT0000087,STU000088,Tutoring,Spring 2022,gateway course failure,False,Enrolled
INT0000088,STU000088,Tutoring,Spring 2022,aid gap,True,Enrolled
INT0000089,STU000090,Peer Mentoring,Spring 2020,GPA drop,True,Withdrew
INT0000090,STU000090,Peer Mentoring,Fall 2020,GPA drop,True,Withdrew
INT0000091,STU000090,Financial Aid Counseling,Spring 2020,aid gap,True,Withdrew
INT0000092,STU000091,Financial Aid Counseling,Fall 2025,gateway course failure,False,Graduated
INT0000093,STU000091,AI Guide,Fall 2024,aid gap,True,Enrolled
INT0000094,STU000094,AI Guide,Fall 2023,gateway course failure,True,Withdrew
INT0000095,STU000094,AI Guide,Fall 2022,aid gap,True,Enrolled
INT0000096,STU000099,Advising,Fall 2020,gateway course failure,True,Withdrew
INT0000097,STU000100,Peer Mentoring,Fall 2019,GPA drop,True,Enrolled
INT0000098,STU000103,AI Guide,Spring 2022,withdrawal risk,True,Graduated
INT0000099,STU000103,AI Guide,Fall 2022,aid gap,True,Enrolled
INT0000100,STU000103,Financial Aid Counseling,Fall 2022,aid gap,True,Enrolled
