outcome_id,student_id,completed_program,completion_year,time_to_completion,employed_within_6mo,salary_range,pathway_achieved
OUT0000001,STU000001,False,,,False,<$30K,False
OUT0000002,STU000002,True,2024.0,4.21,False,$60K-$100K,False
OUT0000003,STU000003,True,2023.0,3.64,True,>$100K,True
OUT0000004,STU000004,True,2025.0,1.7,True,$30K-$60K,True
OUT0000005,STU000005,False,,,False,<$30K,False
OUT0000006,STU000006,True,2021.0,5.47,False,$30K-$60K,False
OUT0000007,STU000007,False,,,True,<$30K,False
OUT0000008,STU000008,True,2018.0,1.77,False,$60K-$100K,False
OUT0000009,STU000009,False,,,False,<$30K,False
OUT0000010,STU000010,True,2024.0,5.32,False,<$30K,False
OUT0000011,STU000011,False,,,True,<$30K,False
OUT0000012,STU000012,True,2021.0,4.09,False,$60K-$100K,False
OUT0000013,STU000013,True,2021.0,1.56,True,$30K-$60K,True
OUT0000014,STU000014,False,,,True,<$30K,False
OUT0000015,STU000015,False,,,True,<$30K,False
OUT0000016,STU000016,False,,,False,<$30K,False
OUT0000017,STU000017,True,2020.0,3.19,True,$30K-$60K,True
OUT0000018,STU000018,True,2022.0,4.27,False,<$30K,False
OUT0000019,STU000019,True,2019.0,1.7,False,$30K-$60K,False
OUT0000020,STU000020,True,2019.0,3.66,True,$30K-$60K,True
OUT0000021,STU000021,False,,,True,$30K-$60K,False
OUT0000022,STU000022,False,,,False,<$30K,False
OUT0000023,STU000023,True,2018.0,4.11,False,$30K-$60K,False
OUT0000024,STU000024,True,2023.0,5.3,True,$60K-$100K,True
OUT0000025,STU000025,True,2020.0,3.86,False,<$30K,False
OUT0000026,STU000026,True,2018.0,4.95,False,>$100K,False
OUT0000027,STU000027,False,,,False,<$30K,False
OUT0000028,STU000028,False,,,False,<$30K,False
OUT0000029,STU000029,True,2020.0,3.7,True,$30K-$60K,True
OUT0000030,STU000030,True,2019.0,3.17,False,<$30K,False
OUT0000031,STU000031,True,2021.0,4.82,False,$30K-$60K,False
OUT0000032,STU000032,False,,,True,<$30K,False
OUT0000033,STU000033,False,,,False,$30K-$60K,False
OUT0000034,STU000034,True,2023.0,4.13,True,$60K-$100K,True
OUT0000035,STU000035,True,2024.0,3.12,True,$30K-$60K,True
OUT0000036,STU000036,True,2025.0,3.79,False,$30K-$60K,False
OUT0000037,STU000037,True,2021.0,5.32,True,>$100K,True
OUT0000038,STU000038,False,,,False,<$30K,False
OUT0000039,STU000039,True,2020.0,2.3,True,<$30K,True
OUT0000040,STU000040,True,2020.0,5.02,False,$60K-$100K,False
OUT0000041,STU000041,True,2021.0,4.7,False,$60K-$100K,False
OUT0000042,STU000042,True,2019.0,2.06,False,$30K-$60K,False
OUT0000043,STU000043,False,,,False,<$30K,False
OUT0000044,STU000044,True,2021.0,3.14,False,$30K-$60K,False
OUT0000045,STU000045,False,,,False,<$30K,False
OUT0000046,STU000046,False,,,False,$30K-$60K,False
OUT0000047,STU000047,True,2022.0,5.49,True,$60K-$100K,True
OUT0000048,STU000048,True,2023.0,4.46,True,$30K-$60K,True
OUT0000049,STU000049,False,,,False,<$30K,False
OUT0000050,STU000050,False,,,True,<$30K,False
OUT0000051,STU000051,False,,,False,$30K-$60K,False
OUT0000052,STU000052,False,,,False,$30K-$60K,False
OUT0000053,STU000053,True,2022.0,4.38,True,$30K-$60K,True
OUT0000054,STU000054,False,,,False,<$30K,False
OUT0000055,STU000055,True,2022.0,2.33,True,$30K-$60K,True
OUT0000056,STU000056,True,2026.0,2.04,True,$30K-$60K,True
OUT0000057,STU000057,False,,,False,<$30K,False
OUT0000058,STU000058,False,,,True,<$30K,False
OUT0000059,STU000059,True,2023.0,4.4,True,$30K-$60K,True
OUT0000060,STU000060,False,,,False,$30K-$60K,False
OUT0000061,STU000061,True,2021.0,3.63,True,$30K-$60K,True
OUT0000062,STU000062,True,2028.0,2.81,True,<$30K,True
OUT0000063,STU000063,True,2021.0,4.58,False,$60K-$100K,False
OUT0000064,STU000064,True,2019.0,1.83,False,<$30K,False
OUT0000065,STU000065,False,,,False,$30K-$60K,False
OUT0000066,STU000066,False,,,False,$30K-$60K,False
OUT0000067,STU000067,False,,,False,<$30K,False
OUT0000068,STU000068,False,,,False,$30K-$60K,False
OUT0000069,STU000069,False,,,False,<$30K,False
OUT0000070,STU000070,False,,,False,$30K-$60K,False
OUT0000071,STU000071,False,,,True,<$30K,False
OUT0000072,STU000072,True,2022.0,2.52,True,>$100K,True
OUT0000073,STU000073,False,,,False,<$30K,False
OUT0000074,STU000074,False,,,False,<$30K,False
OUT0000075,STU000075,False,,,False,$30K-$60K,False
OUT0000076,STU000076,False,,,False,<$30K,False
OUT0000077,STU000077,True,2020.0,3.87,False,<$30K,False
OUT0000078,STU000078,False,,,False,$30K-$60K,False
OUT0000079,STU000079,False,,,True,$30K-$60K,False
OUT0000080,STU000080,True,2025.0,1.92,True,$60K-$100K,True
OUT0000081,STU000081,True,2021.0,3.53,True,$30K-$60K,True
OUT0000082,STU000082,True,2024.0,4.21,True,>$100K,True
OUT0000083,STU000083,True,2025.0,2.65,True,>$100K,True
OUT0000084,STU000084,False,,,False,<$30K,False
OUT0000085,STU000085,False,,,True,<$30K,False
OUT0000086,STU000086,False,,,False,<$30K,False
OUT0000087,STU000087,False,,,False,<$30K,False
OUT0000088,STU000088,True,2023.0,4.28,True,$60K-$100K,True
OUT0000089,STU000089,True,2024.0,5.47,True,$60K-$100K,True
OUT0000090,STU000090,False,,,False,$30K-$60K,False
OUT0000091,STU000091,True,2025.0,2.64,True,<$30K,True
OUT0000092,STU000092,True,2024.0,4.66,True,$60K-$100K,True
OUT0000093,STU000093,True,2022.0,5.27,False,$60K-$100K,False
OUT0000094,STU000094,False,,,True,<$30K,False
OUT0000095,STU000095,True,2021.0,5.38,False,$30K-$60K,False
OUT0000096,STU000096,False,,,False,$30K-$60K,False
OUT0000097,STU000097,False,,,False,<$30K,False
OUT0000098,STU000098,True,2025.0,3.52,True,$60K-$100K,True
OUT0000099,STU000099,False,,,True,<$30K,False
OUT0000100,STU000100,False,,,False,<$30K,False
OUT0000101,STU000101,True,2023.0,2.09,True,$30K-$60K,True
OUT0000102,STU000102,True,2021.0,5.28,True,$30K-$60K,True
OUT0000103,STU000103,True,2022.0,3.37,True,<$30K,True
OUT0000104,STU000104,True,2022.0,2.17,False,$30K-$60K,False
OUT0000105,STU000105,True,2023.0,3.44,True,$30K-$60K,True
OUT0000106,STU000106,False,,,False,$30K-$60K,False
OUT0000107,STU000107,False,,,False,<$30K,False
OUT0000108,STU000108,True,2026.0,1.84,True,$30K-$60K,True
OUT0000109,STU000109,True,2020.0,2.88,False,$60K-$100K,False
OUT0000110,STU000110,True,2019.0,4.66,False,<$30K,False
OUT0000111,STU000111,True,2019.0,4.44,True,$30K-$60K,True
OUT0000112,STU000112,True,2021.0,3.66,True,$30K-$60K,True
OUT0000113,STU000113,False,,,True,$30K-$60K,False
OUT0000114,STU000114,False,,,False,$30K-$60K,False
OUT0000115,STU000115,True,2024.0,5.28,True,$60K-$100K,True
OUT0000116,STU000116,False,,,False,$30K-$60K,False
OUT0000117,STU000117,False,,,True,<$30K,False
OUT0000118,STU000118,False,,,True,$30K-$60K,False
OUT0000119,STU000119,True,2023.0,1.77,False,$30K-$60K,False
OUT0000120,STU000120,True,2025.0,2.93,True,>$100K,True
OUT0000121,STU000121,False,,,False,<$30K,False
OUT0000122,STU000122,True,2021.0,4.94,True,$60K-$100K,True
OUT0000123,STU000123,False,,,False,$30K-$60K,False
OUT0000124,STU000124,True,2021.0,3.88,True,$60K-$100K,True
OUT0000125,STU000125,True,2021.0,1.8,True,$30K-$60K,True
OUT0000126,STU000126,True,2025.0,2.86,True,$60K-$100K,True
OUT0000127,STU000127,True,2025.0,5.42,True,$60K-$100K,True
OUT0000128,STU000128,True,2021.0,1.56,True,$30K-$60K,True
OUT0000129,STU000129,False,,,False,<$30K,False
OUT0000130,STU000130,False,,,False,$30K-$60K,False
OUT0000131,STU000131,False,,,False,<$30K,False
OUT0000132,STU000132,True,2021.0,4.55,True,>$100K,True
OUT0000133,STU000133,True,2019.0,1.9,False,$30K-$60K,False
OUT0000134,STU000134,True,2020.0,3.67,True,$60K-$100K,True
OUT0000135,STU000135,True,2025.0,5.02,True,$30K-$60K,True
OUT0000136,STU000136,True,2022.0,4.93,False,$30K-$60K,False
OUT0000137,STU000137,True,2023.0,4.38,True,$30K-$60K,True
OUT0000138,STU000138,True,2021.0,4.19,False,$30K-$60K,False
OUT0000139,STU000139,False,,,False,<$30K,False
OUT0000140,STU000140,False,,,True,<$30K,False
OUT0000141,STU000141,True,2022.0,4.14,False,$30K-$60K,False
OUT0000142,STU000142,False,,,False,<$30K,False
OUT0000143,STU000143,True,2025.0,4.25,True,$60K-$100K,True
OUT0000144,STU000144,True,2020.0,4.35,True,$60K-$100K,True
OUT0000145,STU000145,False,,,False,<$30K,False
OUT0000146,STU000146,True,2019.0,4.72,False,$30K-$60K,False
OUT0000147,STU000147,True,2025.0,1.54,False,$60K-$100K,False
OUT0000148,STU000148,True,2023.0,5.37,True,>$100K,True
OUT0000149,STU000149,False,,,True,<$30K,False
OUT0000150,STU000150,True,2022.0,4.36,True,$60K-$100K,True
OUT0000151,STU000151,False,,,True,$30K-$60K,False
OUT0000152,STU000152,False,,,False,$30K-$60K,False
OUT0000153,STU000153,True,2022.0,4.86,True,$30K-$60K,True
OUT0000154,STU000154,True,2024.0,2.73,False,$30K-$60K,False
OUT0000155,STU000155,True,2022.0,3.86,True,$60K-$100K,True
OUT0000156,STU000156,False,,,True,<$30K,False
OUT0000157,STU000157,False,,,True,<$30K,False
OUT0000158,STU000158,False,,,False,<$30K,False
OUT0000159,STU000159,True,2022.0,1.56,False,<$30K,False
OUT0000160,STU000160,False,,,False,$30K-$60K,False
OUT0000161,STU000161,False,,,False,$30K-$60K,False
OUT0000162,STU000162,False,,,True,<$30K,False
OUT0000163,STU000163,True,2025.0,4.46,False,$30K-$60K,False
OUT0000164,STU000164,False,,,False,$30K-$60K,False
