student_id,age_at_enrollment,gender,race_ethnicity,first_gen_status,income_bracket,state,enrollment_year,program_type,institution_type
STU000001,18,Male,Asian,False,Low,SC,2021,Bootcamp,4-Year Private
STU000002,28,Male,White,True,High,DE,2021,Bachelor,4-Year Private
STU000003,25,Male,Black,True,High,AK,2020,Bachelor,4-Year Private
STU000004,28,Non-binary,Asian,False,Low,WA,2019,Bachelor,Community College
STU000005,25,Female,Hispanic,False,Middle,KY,2018,Bachelor,4-Year Public
STU000006,29,Male,White,True,Middle,IA,2018,Bachelor,4-Year Private
STU000007,27,Male,Hispanic,False,Middle,IN,2021,Bachelor,4-Year Private
STU000008,27,Male,White,False,Middle,DC,2018,Certificate,4-Year Private
STU000009,25,Female,White,True,Middle,WA,2020,Bachelor,4-Year Public
STU000010,18,Female,Black,False,Low,CT,2021,Associate,4-Year Public
STU000011,32,Male,Asian,True,Low,TX,2019,Bachelor,Community College
STU000012,23,Female,Hispanic,False,Middle,WA,2021,Certificate,Community College
STU000013,22,Male,Hispanic,False,Low,MH,2018,Bachelor,Community College
STU000014,24,Male,White,True,Middle,ND,2021,Bachelor,Community College
STU000015,22,Non-binary,Asian,False,Low,CO,2018,Bootcamp,4-Year Private
STU000016,21,Male,White,True,High,OR,2021,Bachelor,Community College
STU000017,28,Female,White,False,Middle,NE,2019,Certificate,4-Year Public
STU000018,21,Female,Hispanic,True,Middle,AZ,2021,Associate,4-Year Public
STU000019,20,Male,White,False,Low,AK,2019,Bootcamp,4-Year Public
STU000020,24,Female,White,False,Middle,CO,2019,Certificate,Community College
STU000021,21,Female,Other,False,Middle,IL,2020,Associate,Community College
STU000022,25,Male,White,False,High,IN,2020,Associate,4-Year Public
STU000023,22,Female,White,False,Middle,NY,2018,Certificate,Community College
STU000024,26,Male,White,False,Middle,PA,2022,Certificate,4-Year Private
STU000025,32,Female,White,False,Low,AK,2019,Bootcamp,Community College
STU000026,25,Male,Other,False,Middle,OH,2018,Bootcamp,Workforce Program
STU000027,18,Male,Hispanic,False,Middle,ID,2020,Associate,4-Year Private
STU000028,23,Female,White,True,High,VT,2019,Associate,Community College
STU000029,22,Female,White,True,Middle,SD,2020,Bootcamp,4-Year Public
STU000030,23,Male,White,True,Middle,UT,2018,Associate,4-Year Public
STU000031,31,Female,White,False,Middle,ND,2021,Certificate,Community College
STU000032,23,Female,White,True,Middle,MT,2018,Bachelor,Workforce Program
STU000033,25,Female,White,False,Middle,IN,2019,Associate,Community College
STU000034,28,Non-binary,Black,False,High,NV,2020,Bachelor,4-Year Private
STU000035,30,Male,Hispanic,False,Low,OR,2018,Bachelor,4-Year Public
STU000036,31,Female,White,True,Middle,KY,2022,Bachelor,4-Year Private
STU000037,21,Male,White,False,High,AS,2020,Associate,Community College
STU000038,24,Male,Hispanic,True,Low,VI,2020,Bootcamp,Community College
STU000039,19,Male,White,True,Low,AL,2019,Associate,Community College
STU000040,23,Female,White,True,Middle,WV,2020,Certificate,4-Year Private
STU000041,25,Male,White,True,Middle,AS,2018,Bachelor,Community College
STU000042,17,Female,White,False,Low,GA,2019,Bootcamp,Community College
STU000043,30,Female,Other,False,Middle,UT,2022,Bachelor,4-Year Private
STU000044,28,Female,White,False,Middle,NE,2018,Bachelor,4-Year Public
STU000045,20,Male,White,False,Low,MA,2019,Bachelor,4-Year Public
STU000046,28,Male,Hispanic,True,High,KY,2019,Bootcamp,4-Year Public
STU000047,29,Female,Asian,False,High,FL,2019,Bachelor,4-Year Public
STU000048,18,Female,White,False,High,IL,2019,Associate,4-Year Public
STU000049,27,Female,White,False,Low,WV,2018,Bootcamp,4-Year Private
STU000050,23,Female,Hispanic,False,Low,MA,2020,Bachelor,Community College
STU000051,25,Male,Black,False,Middle,CT,2021,Bachelor,4-Year Private
STU000052,31,Female,Black,False,Low,CO,2021,Associate,Community College
STU000053,24,Male,Hispanic,False,Middle,MS,2021,Bootcamp,4-Year Private
STU000054,27,Male,White,True,Low,CT,2019,Bootcamp,4-Year Public
STU000055,28,Female,Black,False,Middle,MI,2019,Bachelor,4-Year Public
STU000056,27,Female,Other,True,High,PR,2022,Bachelor,Community College
STU000057,24,Female,White,False,High,MI,2020,Bachelor,4-Year Public
STU000058,22,Male,Asian,False,Low,PA,2020,Bootcamp,Workforce Program
STU000059,27,Female,White,False,Middle,KS,2019,Bachelor,Community College
STU000060,27,Male,White,True,Middle,AS,2022,Associate,Workforce Program
STU000061,21,Male,White,True,Middle,AZ,2021,Certificate,Community College
STU000062,21,Male,Hispanic,False,Middle,VA,2022,Bachelor,4-Year Private
STU000063,24,Male,White,False,Middle,NH,2018,Bachelor,4-Year Private
STU000064,24,Female,White,True,Middle,ND,2018,Bootcamp,4-Year Public
STU000065,25,Female,White,False,Middle,DE,2018,Associate,Community College
STU000066,29,Non-binary,White,False,Middle,MS,2018,Bachelor,Community College
STU000067,20,Male,Black,False,Middle,CO,2022,Bootcamp,Community College
STU000068,24,Male,White,True,Low,OH,2020,Associate,Community College
STU000069,26,Female,Black,False,Middle,LA,2020,Associate,4-Year Public
STU000070,26,Male,White,False,Low,MP,2019,Bachelor,4-Year Public
STU000071,26,Female,Hispanic,True,Middle,SC,2021,Bachelor,4-Year Public
STU000072,25,Male,White,False,High,RI,2021,Bootcamp,4-Year Public
STU000073,28,Female,White,False,Middle,FM,2020,Associate,Community College
STU000074,30,Male,White,True,Low,VI,2022,Bachelor,4-Year Private
STU000075,31,Female,Asian,True,Low,MN,2018,Bachelor,Community College
STU000076,25,Female,Other,False,Low,OK,2019,Bachelor,4-Year Private
STU000077,29,Female,White,True,Middle,ID,2019,Associate,Community College
STU000078,23,Non-binary,Black,False,High,VT,2022,Associate,4-Year Public
STU000079,30,Male,Hispanic,False,Middle,CA,2019,Associate,Community College
STU000080,20,Male,White,True,Middle,AZ,2022,Bachelor,4-Year Public
STU000081,17,Male,Asian,False,Middle,TN,2018,Bachelor,4-Year Private
STU000082,26,Male,Black,True,High,IN,2018,Bachelor,4-Year Private
STU000083,28,Female,Asian,False,High,WI,2022,Bachelor,4-Year Public
STU000084,30,Male,White,False,Middle,LA,2020,Associate,Community College
STU000085,22,Male,Other,False,Low,CO,2018,Bachelor,Community College
STU000086,23,Female,Black,False,Middle,PR,2019,Bachelor,4-Year Private
STU000087,27,Female,Other,False,High,IN,2022,Associate,4-Year Private
STU000088,29,Female,Hispanic,False,High,VI,2020,Bachelor,4-Year Private
STU000089,32,Male,White,True,Middle,CT,2021,Bachelor,Workforce Program
STU000090,30,Non-binary,White,False,Low,MS,2020,Bachelor,4-Year Private
STU000091,21,Female,White,True,Low,KY,2022,Associate,4-Year Private
STU000092,29,Female,Asian,False,High,NH,2021,Associate,Community College
STU000093,18,Female,White,False,Middle,SC,2021,Associate,4-Year Public
STU000094,28,Female,White,False,Middle,MP,2022,Certificate,Community College
STU000095,28,Male,White,False,Low,MN,2020,Associate,Community College
STU000096,24,Female,Other,True,Middle,GA,2021,Associate,4-Year Public
STU000097,19,Female,Black,True,High,MN,2022,Bachelor,Community College
STU000098,18,Male,White,True,Middle,MI,2019,Bachelor,Community College
STU000099,24,Female,Hispanic,False,Low,IL,2020,Bootcamp,Community College
STU000100,25,Female,Black,False,Middle,TN,2019,Bachelor,Community College
STU000101,30,Male,White,False,Low,KY,2019,Bachelor,4-Year Private
STU000102,26,Male,White,False,Middle,UT,2021,Certificate,Workforce Program
STU000103,21,Male,Black,True,Middle,TX,2021,Bootcamp,4-Year Public
STU000104,31,Male,Other,True,Low,SD,2020,Associate,Community College
STU000105,32,Female,White,True,Low,CA,2020,Bachelor,Community College
STU000106,31,Male,White,True,Middle,PA,2021,Associate,Community College
STU000107,23,Male,White,False,Middle,SC,2022,Bachelor,4-Year Private
STU000108,24,Male,White,True,Middle,GA,2022,Bachelor,Community College
STU000109,28,Female,White,False,Middle,ND,2019,Associate,Community College
STU000110,22,Female,White,True,Low,VA,2018,Associate,4-Year Public
STU000111,24,Female,Black,False,Low,IA,2019,Certificate,4-Year Public
STU000112,24,Female,Asian,True,High,GA,2018,Bachelor,4-Year Public
STU000113,31,Male,Hispanic,True,Middle,NH,2022,Bachelor,Community College
STU000114,25,Male,White,True,Middle,MS,2020,Associate,Community College
STU000115,27,Female,Hispanic,True,High,KY,2021,Bachelor,Community College
STU000116,29,Female,White,False,High,SC,2018,Associate,Community College
STU000117,25,Female,White,False,High,UT,2022,Bachelor,4-Year Public
